
1,4
2,22
3,7
4,17
5,15
6,17
7,20
8,23
9,16
10,11
11,16
12,4
13,24
14,17
15,21
16,3
17,25
18,21
19,19
20,22
21,15
22,22
23,18
24,17
25,13
26,2
27,6
28,15
29,19
30,3
31,19
32,6
33,24
34,1
35,11
36,23
37,6
38,20
39,21
40,8
41,4
42,5
43,24
44,9
45,2
46,21
47,13
48,18
49,1
50,12
51,19
52,2
53,24
54,14
55,9
56,2
57,9
58,3
59,18
60,20
61,11
62,25
63,25
64,13
65,4
66,20
67,25
68,4
69,6
70,9
71,8
72,16
73,3
74,4
75,9
76,4
77,8
78,11
79,22
80,9
81,20
82,19
83,23
84,25
85,3
86,13
87,24
88,17
89,24
90,9
91,20
92,14
93,14
94,10
95,23
96,22
97,20
98,21
99,9
100,13
101,3
102,2
103,25
104,20
105,12
106,18
107,11
108,23
109,8
110,1
111,10
112,1
113,25
114,12
115,20
116,1
117,5
118,12
119,23
120,9
121,13
122,19
123,23
124,22
125,23
126,15
127,3
128,21
129,10
130,12
131,18
132,12
133,16
134,6
135,18
136,16
137,18
138,16
139,20
140,15
141,24
142,22
143,9
144,23
145,16
146,22
147,2
148,25
149,11
150,17
151,9
152,20
153,12
154,5
155,10
156,9
157,4
158,5
159,24
160,10
161,10
162,13
163,9
164,23
165,4
166,8
167,12
168,4
169,12
170,13
171,23
172,15
173,16
174,17
175,1
176,23
177,1
178,11
179,16
180,15
181,22
182,13
183,18
184,2
185,6
186,24
187,21
188,24
189,16
190,5
191,14
192,24
193,7
194,23
195,6
196,11
197,18
198,12
199,3
200,18
201,18
202,17
203,3
204,6
205,14
206,2
207,13
208,18
209,12
210,15
211,11
212,13
213,25
214,25
215,11
216,24
217,12
218,11
219,17
220,24
221,16
222,23
223,1
224,9
225,1
226,1
227,12
228,11
229,5
230,6
231,14
232,9
233,1
234,9
235,7
236,23
237,1
238,9
239,7
240,4
241,20
242,12
243,6
244,19
245,15
246,1
247,17
248,19
249,18
250,22
251,4
